Found: b'row1', {b'personal:power': (b'fly', 1522875505886), b'personal:hero': (b'yes', 1522875505886), b'professional:name': (b'batman', 1522875505886), b'professional:xp': (b'100', 1522875505886), b'custom:color': (b'black', 1522875505886)}
Found: b'row2', {b'personal:power': (b'run', 1522875505895), b'personal:hero': (b'yes', 1522875505895), b'professional:name': (b'superman', 1522875505895), b'professional:xp': (b'10', 1522875505895), b'custom:color': (b'red', 1522875505895)}
Found: b'row20', {b'personal:power': (b'smile', 1522875505972), b'personal:hero': (b'yes', 1522875505972), b'professional:name': (b'charming', 1522875505972), b'professional:xp': (b'97', 1522875505972), b'custom:color': (b'white', 1522875505972)}
Found: b'row21', {b'personal:power': (b'stink', 1522875505975), b'personal:hero': (b'yes', 1522875505975), b'professional:name': (b'shrek', 1522875505975), b'professional:xp': (b'32', 1522875505975), b'custom:color': (b'green', 1522875505975)}
Found: b'row22', {b'personal:power': (b'eat', 1522875505986), b'personal:hero': (b'no', 1522875505986), b'professional:name': (b'appleman', 1522875505986), b'professional:xp': (b'25', 1522875505986), b'custom:color': (b'red', 1522875505986)}
Found: b'row23', {b'personal:power': (b'grow', 1522875505987), b'personal:hero': (b'maybe', 1522875505987), b'professional:name': (b'spinachman', 1522875505987), b'professional:xp': (b'65', 1522875505987), b'custom:color': (b'green', 1522875505987)}
Found: b'row24', {b'personal:power': (b'hide', 1522875505995), b'personal:hero': (b'no', 1522875505995), b'professional:name': (b'antman', 1522875505995), b'professional:xp': (b'37', 1522875505995), b'custom:color': (b'black', 1522875505995)}
Found: b'row25', {b'personal:power': (b'steal', 1522875505998), b'personal:hero': (b'yes', 1522875505998), b'professional:name': (b'mouseman', 1522875505998), b'professional:xp': (b'76', 1522875505998), b'custom:color': (b'grey', 1522875505998)}
Found: b'row3', {b'personal:power': (b'eat', 1522875505910), b'personal:hero': (b'no', 1522875505910), b'professional:name': (b'bananaman', 1522875505910), b'professional:xp': (b'30', 1522875505910), b'custom:color': (b'yellow', 1522875505910)}
Found: b'row4', {b'personal:power': (b'fly', 1522875505911), b'personal:hero': (b'yes', 1522875505911), b'professional:name': (b'spiderman', 1522875505911), b'professional:xp': (b'45', 1522875505911), b'custom:color': (b'red', 1522875505911)}
Found: b'row5', {b'personal:power': (b'jump', 1522875505914), b'personal:hero': (b'no', 1522875505914), b'professional:name': (b'goatman', 1522875505914), b'professional:xp': (b'33', 1522875505914), b'custom:color': (b'white', 1522875505914)}
Found: b'row6', {b'personal:power': (b'fight', 1522875505916), b'personal:hero': (b'maybe', 1522875505916), b'professional:name': (b'brave', 1522875505916), b'professional:xp': (b'45', 1522875505916), b'custom:color': (b'blue', 1522875505916)}
Found: b'row7', {b'personal:power': (b'wash', 1522875505924), b'personal:hero': (b'no', 1522875505924), b'professional:name': (b'cinderella', 1522875505924), b'professional:xp': (b'12', 1522875505924), b'custom:color': (b'pink', 1522875505924)}
Found: b'row8', {b'personal:power': (b'freeze', 1522875505930), b'personal:hero': (b'no', 1522875505930), b'professional:name': (b'elisa', 1522875505930), b'professional:xp': (b'34', 1522875505930), b'custom:color': (b'white', 1522875505930)}
Found: b'row9', {b'personal:power': (b'steal', 1522875505936), b'personal:hero': (b'yes', 1522875505936), b'professional:name': (b'robinhood', 1522875505936), b'professional:xp': (b'67', 1522875505936), b'custom:color': (b'green', 1522875505936)}
